id,uf,nome_uf,mesorregiao_geografica,nome_mesorregião,microrregiao_geografica,nome_microrregiao,municipio,codigo_municipio_completo,nome_municipio,distrito,codigo_de_distrito_completo,nome_distrito
8839,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",027,Osório,06551,4306551,"Dom Pedro de Alcântara",15,430655115,"Morro dos Leffas"
8840,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",027,Osório,06551,4306551,"Dom Pedro de Alcântara",20,430655120,"Porto Colônia"
8841,43,"Rio Grande do Sul",03,"Centro Ocidental Rio-grandense",019,"Restinga Seca",06700,4306700,"Dona Francisca",05,430670005,"Dona Francisca"
8842,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",002,"Três Passos",06734,4306734,"Doutor Maurício Cardoso",05,430673405,"Doutor Maurício Cardoso"
8843,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",002,"Três Passos",06734,4306734,"Doutor Maurício Cardoso",15,430673415,Pitanga
8844,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",002,"Três Passos",06734,4306734,"Doutor Maurício Cardoso",20,430673420,Pranchada
8845,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,06759,4306759,"Doutor Ricardo",05,430675905,"Doutor Ricardo"
8846,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",026,"Porto Alegre",06767,4306767,"Eldorado do Sul",05,430676705,"Eldorado do Sul"
8847,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",026,"Porto Alegre",06767,4306767,"Eldorado do Sul",10,430676710,"Bom Retiro"
8848,43,"Rio Grande do Sul",05,"Metropolitana de Porto Alegre",026,"Porto Alegre",06767,4306767,"Eldorado do Sul",15,430676715,"Parque Eldorado"
8849,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,06809,4306809,Encantado,05,430680905,Encantado
8850,43,"Rio Grande do Sul",04,"Centro Oriental Rio-grandense",021,Lajeado-Estrela,06809,4306809,Encantado,25,430680925,Valdástico
8851,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",05,430690805,"Encruzilhada do Sul"
8852,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",09,430690809,"Capitão Noronha"
8853,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",15,430690815,"Cerro Partido"
8854,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",20,430690820,"Coronel Prestes"
8855,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",25,430690825,"Maria Santa"
8856,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",30,430690830,"Pompeu Machado"
8857,43,"Rio Grande do Sul",07,"Sudeste Rio-grandense",032,"Serras de Sudeste",06908,4306908,"Encruzilhada do Sul",35,430690835,"Santa Bárbara"
8858,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",003,"Frederico Westphalen",06924,4306924,"Engenho Velho",05,430692405,"Engenho Velho"
8859,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,06957,4306957,"Entre Rios do Sul",05,430695705,"Entre Rios do Sul"
8860,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",007,"Santo Ângelo",06932,4306932,Entre-Ijuís,05,430693205,Entre-Ijuís
8861,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,06973,4306973,Erebango,05,430697305,Erebango
8862,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,07005,4307005,Erechim,05,430700505,Erechim
8863,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,07005,4307005,Erechim,10,430700510,Capo-Erê
8864,43,"Rio Grande do Sul",01,"Noroeste Rio-grandense",004,Erechim,07005,4307005,Erechim,15,430700515,Jaguaretê
